Владо	104
Ценко	104
Апостол	103
Бисер	103
Велчо	103
Светозар	103
Денчо	102
Момчил	102
Ненчо	102
Блага	101
Капка	101
Рада	101
Цено	101
Галя	100
Гроздан	100
Кирилка	100
Ненка	100
Христофор	100
Рашко	99
Тончо	99
Гено	98
Илинка	96
Даниел	95
Стайко	95
Стоилка	95
Тодора	95
Дарина	94
Любов	94
Мила	94
Павлинка	94
Светлозар	94
Вълко	93
Митра	93
Сашко	93
Стефчо	93
Ваньо	92
Матей	92
Дафина	91
Илко	91
Нонка	91
Савка	91
Гергин	90
Добромир	90
Тамара	90
Бисерка	89
Божанка	89
Динко	89
Йовка	89
Лука	89
Кръстан	88
Лина	88
Теменуга	88
Венера	87
Кунка	87
Фанка	87
Дочка	86
Златан	86
Невяна	86
Грозданка	85
Гюргена	85
Петьо	84
Божидарка	83
Илчо	83
Мариела	83
Мими	82
Цеца	82
Динка	81
Добрина	81
Евстати	81
Петкана	81
Ружа	81
Миланка	80
Благовеста	79
Стоичко	79
Юлиан	79
Веса	78
Жулиета	78
Бранимир	77
Климент	77
Жеко	76
Иванчо	76
Саша	76
Ставри	76
Аврам	75
Анани	75
Габриела	75
Лазарина	75
Пена	75
Янчо	75
Жанета	74
Кремена	74
Митка	74
Неда	74
Петрунка	74
Рачо	74
Севда	74
Стилиян	74
Янаки	74
Христинка	73
Велизар	72
Вельо	72
Нино	72
Валерий	71
Васка	71
Ефросина	71
Ива	71
Магда	71
Антонина	70
Иглика	70
Пепа	70
Снежинка	70
Юри	70
Борислава	69
Володя	69
Ева	69
Аделина	68
Ботьо	68
Дочо	68
Марта	68
Ралица	68
Лора	67
Нора	67
Силва	67
Славе	67
Станой	67
Цветелина	67
Цецка	67
Божко	66
Витан	66
Спиридон	66
Елизабет	65
Ефтим	65
Божурка	64
Вела	64
Желю	64
Зора	64
Лазаринка	64
Лукан	64
Павлин	64
Радой	64
Седефка	64
Слава	64
Софийка	64
Тотю	64
Тошо	64
Ясен	64
Благородна	63
Герасим	63
Захаринка	63
Лена	63
Фани	63
Фиданка	63
Цена	63
Детелина	62
Диляна	62
Юлий	62
Виден	61
Маруся	61
Начо	61
Пейчо	61
Севдалина	61
Алексей	60
Давид	60
Елинка	60
Миладин	60
Дойчин	59
Корнелия	59
Стою	59
Веско	58
Гълъбина	58
Стоянчо	58
Гана	57
Зорница	57
Кузман	57
Лоза	57
Мито	57
Симо	57
Александрина	56
Благовест	56
Вене	56
Миглена	56
Пеньо	56
Стоименка	56
Биляна	55
Велислав	55
Виргиния	55
Йоанна	55
Ренета	55
Събка	55
Цано	55
Жанет	54
Мирослава	54
Найда	54
Незабравка	54
Велка	53
Жорж	53
Мадлена	53
Мирон	53
Стана	53
Борка	52
Карамфила	52
Танка	52
Траяна	52
Трендафила	52
Яни	52
Велико	51
Катина	51
Кети	51
Мира	51
Цоло	51
Вергил	50
Видин	50
Любомира	50
Маринка	50
Недю	50
Руслан	50
Юлка	50
Анжела	49
Витка	49
Едуард	49
Захарина	49
Мариян	49
Митю	49
Пеню	49
Светлин	49
Стаменка	49
Димитричка	48
Йонко	48
Милица	48
Трендафилка	48
Велислава	47
Вержиния	47
Ветка	47
Грета	47
Елза	47
Офелия	47
Радостина	47
Роман	47
Гюлка	46
Еленко	46
Жечка	46
Зинаида	46
Киро	46
Леонид	46
Мина	46
Михаела	46
Нешо	46
Полина	46
Станислава	46
Стойно	46
Теодоси	46
Антони	45
Антоний	45
Боне	45
Ирен	45
Йоана	45
Йончо	45
Паулина	45
Розалина	45
Розалия	45
Жасмина	44
Маргарит	44
Марица	44
Мери	44
Мирка	44
Правда	44
Радослава	44
Асенка	43
Вангел	43
Жоро	43
Злати	43
Куна	43
Наско	43
Нестор	43
Рафаил	43
Славянка	43
Арсо	42
Гриша	42
Дина	42
Катинка	42
Марика	42
Михо	42
Нона	42
Розка	42
Серги	42
Теньо	42
Тошка	42
Филка	42
Яким	42
Диньо	41
Кръстинка	41
Луиза	41
Нейчо	41
Пантелей	41
Пешо	41
Страшимир	41
Цона	41
Цонко	41
Вангелия	40
Гълъб	40
Калчо	40
Кирчо	40
Неделя	40
Паскал	40
Симона	40
Теофил	40
Благойка	39
Жоржета	39
Ивана	39
Илиан	39
Любица	39
Милуш	39
Нако	39
Пейо	39
Русанка	39
Свиленка	39
Цоню	39
Агоп	38
Вихра	38
Делка	38
Доротея	38
Калоян	38
Мариан	38
Наум	38
Паунка	38
Светослава	38
Слав	38
Съби	38
Вася	37
Дечо	37
Жени	37
Копринка	37
Лада	37
Маргаритка	37
Миле	37
Пею	37
Роберт	37
Стойо	37
Божура	36
Бояна	36
Горян	36
Карамфил	36
Кичка	36
Клара	36
Моника	36
Николета	36
Цана	36
Виржиния	35
Гошо	35
Емилиян	35
Йовчо	35
Кера	35
Кинка	35
Коце	35
Манчо	35
Панталей	35
Паун	35
Самуил	35
Славена	35
Спиро	35
Таньо	35
Ташко	35
Уляна	35
Цоньо	35
Анатоли	34
Антонио	34
Божидара	34
Босилка	34
Деница	34
Дешка	34
Дико	34
Исак	34
Йона	34
Петруна	34
Снежка	34
Анни	33
Вида	33
Вили	33
Вихър	33
Генко	33
Дамянка	33
Деспина	33
Дойчо	33
Жан	33
Лилка	33
Михал	33
Радост	33
Райничка	33
Рашо	33
Савина	33
Симка	33
Сузана	33
Тереза	33
Богиня	32
Виолина	32
Дияна	32
Дона	32
Константина	32
Констанца	32
Кристиян	32
Кръстана	32
Лозена	32
Мадлен	32
Мико	32
Найденка	32
Оля	32
Таню	32
Юли	32
Анатолий	31
Гочо	31
Добра	31
Занка	31
