Иванов	6518
Георгиев	5608
Димитров	4702
Иванова	4605
Петров	4009
Георгиева	3903
Димитрова	3520
Николов	3402
Стоянов	3100
Христов	2962
Петрова	2892
Тодоров	2771
Николова	2753
Илиев	2222
Христова	2168
Василев	2148
Стоянова	2137
Тодорова	1911
Попов	1753
Ангелов	1727
Петков	1722
Илиева	1655
Атанасов	1604
Василева	1494
Михайлов	1448
Йорданов	1415
Колев	1373
Попова	1358
Стефанов	1346
Кръстев	1293
Ангелова	1263
Петкова	1250
Костов	1211
Атанасова	1183
Михайлова	1088
Маринов	1050
Спасов	1048
Павлов	1045
Йорданова	1038
Стефанова	990
Цветков	984
Симеонов	945
Колева	942
Кръстева	937
Марков	932
Младенов	884
Лазаров	878
Павлова	869
Костова	852
Александров	838
Григоров	775
Захариев	748
Маринова	732
Андреев	730
Алексиев	726
Спасова	716
Рангелов	706
Найденов	698
Димов	668
Цветкова	655
Костадинов	649
Миланов	639
Маркова	636
Младенова	631
Симеонова	630
Лазарова	604
Митов	596
Александрова	592
Митев	589
Величков	584
Томов	583
Григорова	582
Стоилов	559
Андонов	546
Янев	546
Божилов	545
Алексиева	544
Найденова	522
Филипов	515
Савов	513
Янков	503
Захариева	498
Велев	481
Стоименов	478
Цветанов	476
Ковачев	466
Стоев	464
Стойчев	460
Андреева	456
Димова	454
Радев	453
Бонев	449
Манолов	444
Киров	442
Пенев	442
Богданов	441
Митова	440
Борисов	439
Бояджиев	435
Милев	433
Антонов	431
Миланова	431
Добрев	430
Станчев	429
Велинов	426
Станков	424
Костадинова	419
Митева	418
Савова	417
Игнатов	415
Рангелова	414
Величкова	406
Вълчев	403
Божилова	402
Стойков	402
Ковачева	398
Янева	398
Апостолов	397
Дамянов	393
Тошев	391
Янкова	391
Владимиров	384
Велков	377
Андонова	369
Борисова	361
Коцев	356
Недялков	356
Стоилова	355
Филипова	355
Генов	353
Велева	352
Сотиров	350
Тасев	350
Вълков	349
Стоичков	349
Йотов	348
Кирова	345
Пенева	343
Йосифов	342
Трифонов	341
Бояджиева	339
Томова	339
Антонова	337
Панайотов	329
Стоева	328
Радева	327
Славов	327
Стоименова	327
Дончев	326
Бонева	324
Милева	324
Цеков	321
Константинов	319
Богданова	318
Соколов	318
Каменов	317
Манолова	314
Станкова	314
Стойчева	310
Пенчев	309
Ганчев	308
Цветанова	305
Гълъбов	304
Стаменов	303
Минчев	302
Пешев	300
Танев	300
Аврамов	297
Владимирова	297
Янакиев	297
Станев	296
Добрева	295
Пейчев	291
Русев	291
Тошева	289
